startTimeLocal,activityType,distance,duration,averageSpeed,averageHR,calories
2025-06-18 20:14:52,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",4999.2099609375,1516.8819580078125,3.2960000038146973,138.0,336.0
2025-06-17 18:27:14,"{'typeId': 2, 'typeKey': 'cycling', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",28340.0,3901.156982421875,7.2645115282466195,114.0,569.0
2025-06-17 06:09:47,"{'typeId': 13, 'typeKey': 'strength_training', 'parentTypeId': 29, 'isHidden': False, 'restricted': False, 'trimmable': False}",,725.25,,,
2025-06-16 17:31:48,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",10000.099609375,3227.572021484375,3.0980000495910645,134.0,671.0
2025-06-16 06:08:51,"{'typeId': 13, 'typeKey': 'strength_training', 'parentTypeId': 29, 'isHidden': False, 'restricted': False, 'trimmable': False}",,570.47900390625,,,
2025-06-14 08:37:33,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",6598.2998046875,2460.841064453125,2.680999994277954,129.0,445.0
2025-06-13 06:15:58,"{'typeId': 151, 'typeKey': 'stop_watch', 'parentTypeId': 4, 'isHidden': False, 'restricted': False, 'trimmable': True}",,400.79901123046875,,,
2025-06-12 18:05:36,"{'typeId': 2, 'typeKey': 'cycling', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",21390.94921875,3092.14892578125,6.918000221252441,114.0,458.0
2025-06-12 06:12:15,"{'typeId': 13, 'typeKey': 'strength_training', 'parentTypeId': 29, 'isHidden': False, 'restricted': False, 'trimmable': False}",,585.6389770507812,,,
2025-06-11 16:45:15,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",5998.14013671875,1923.4189453125,3.118000030517578,135.0,402.0
2025-06-09 17:32:00,"{'typeId': 1, 'typeKey': 'running', 'parentTypeId': 17, 'isHidden': False, 'restricted': False, 'trimmable': True}",11803.9501953125,4258.9638671875,2.7720000743865967,116.0,639.0
